epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,train/ioqc_comp_loss,train/ioqc_align_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,val/ioqc_comp_loss,val/ioqc_align_loss,lr/pg0,lr/pg1,lr/pg2
2,1694.46,2.25863,0.15147,0.69076,0.52719,1.43684,0.01734,0.06175,0.0058,0.00124,1.801,0.28169,0.4183,0,0,0.000470996,0.000470996,0.000470996
3,1630.64,1.98232,0.26496,0.52773,0.75163,1.11854,0.35033,0.10069,0.02611,0.01093,1.55191,0.41679,0.33005,0,0,0.000699503,0.000699503,0.000699503
4,3121.4,1.81366,0.35405,0.43762,0.81442,0.96029,0.06894,0.14759,0.03964,0.01862,1.40335,0.48688,0.26661,0,0,0.000692794,0.000692794,0.000692794
5,2661.52,1.64884,0.4252,0.36938,0.84747,0.74655,0.39511,0.09813,0.05447,0.02805,1.40521,0.49534,0.24647,0,0,0.000685726,0.000685726,0.000685726
6,1398.31,1.56661,0.42865,0.31458,0.86706,0.69624,0.18015,0.18492,0.09696,0.04952,1.17437,0.51509,0.18414,0,0,0.000678657,0.000678657,0.000678657
7,2776.24,1.46727,0.43939,0.27335,0.8653,0.60244,0.1903,0.21409,0.12068,0.06108,1.12463,0.52162,0.17699,0,0,0.000671588,0.000671588,0.000671588
8,4096.59,1.4178,0.44412,0.25975,0.8575,0.57789,0.22816,0.23041,0.14438,0.07317,1.07888,0.51135,0.16314,0,0,0.00066452,0.00066452,0.00066452
9,5411.46,1.36592,0.45085,0.23852,0.85246,0.52602,0.2409,0.23788,0.1577,0.08439,1.04525,0.50708,0.15065,0,0,0.000657451,0.000657451,0.000657451
10,6723.46,1.33221,0.45445,0.22725,0.85277,0.50315,0.23744,0.26057,0.16041,0.08341,1.05045,0.52136,0.15464,0,0,0.000650383,0.000650383,0.000650383
11,8062.12,1.33458,0.4472,0.22856,0.84697,0.5191,0.26569,0.27301,0.18356,0.0993,1.01214,0.51645,0.13914,0,0,0.000643314,0.000643314,0.000643314
12,9337.03,1.2816,0.45525,0.21131,0.5079,0.55855,0.28192,0.27807,0.19944,0.10707,1.00374,0.51893,0.13996,0,0,0.000636245,0.000636245,0.000636245
13,10594.9,1.26746,0.45565,0.20509,0.34025,0.56449,0.29149,0.30048,0.21655,0.11536,0.98531,0.50968,0.13165,0,0,0.000629177,0.000629177,0.000629177
14,1232.32,1.24251,0.45473,0.19715,0.27396,0.55113,0.30273,0.27134,0.20561,0.10607,1.00132,0.49349,0.12496,0,0,0.000622108,0.000622108,0.000622108
15,2411.36,1.2039,0.45695,0.18334,0.24203,0.47831,0.33498,0.3103,0.24465,0.1337,0.91794,0.51392,0.11631,0,0,0.00061504,0.00061504,0.00061504
16,3612.25,1.18761,0.45428,0.17814,0.20831,0.46,0.3491,0.31346,0.25015,0.13459,0.93841,0.50282,0.11409,0,0,0.000607971,0.000607971,0.000607971
17,2292.02,1.15346,0.48509,0.1813,0.18963,0.42104,0.34747,0.31565,0.25536,0.14135,0.89828,0.5109,0.10886,0,0,0.000600902,0.000600902,0.000600902
